"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count" "Condition"
"GO:0071496" "cellular response to external stimulus" "16/252" "306/18570" 4.71328956654064e-06 0.00144012420301301 0.00128634467404535 "GLUL/FNIP1/FLCN/ATG14/BMT2/TSC1/PIM1/STK24/NFE2L2/FOXO1/FOXO3/ZFYVE1/MTMR3/MAP1LC3B/BCL10/JMY" 16 "PI_2"
"GO:1902905" "positive regulation of supramolecular fiber organization" "12/252" "176/18570" 5.2851188729676e-06 0.00148027371100368 0.00132220693207926 "SWAP70/F2RL1/SMAD3/CCN2/OCLN/TSC1/PROX1/CDKN1B/CDC42EP2/AKAP9/RICTOR/WASL" 12 "PI_2"
"GO:0060828" "regulation of canonical Wnt signaling pathway" "14/252" "261/18570" 1.40291181329087e-05 0.00348414897075849 0.00311210412458799 "LGR4/FZD7/LGR5/WWTR1/SMAD3/TCF7L2/TLE4/EGFR/FRAT1/UBE2B/PPM1A/TNKS2/FOXO1/FOXO3" 14 "PI_2"
"GO:0051495" "positive regulation of cytoskeleton organization" "12/252" "195/18570" 1.49748164980379e-05 0.00348414897075849 0.00311210412458799 "SWAP70/F2RL1/SMAD3/CCN2/OCLN/TSC1/PROX1/CDKN1B/CDC42EP2/AKAP9/RICTOR/WASL" 12 "PI_2"
"GO:1902903" "regulation of supramolecular fiber organization" "17/252" "375/18570" 1.5549608616893e-05 0.00348414897075849 0.00311210412458799 "SWAP70/F2RL1/SMAD3/CCN2/OCLN/TSC1/TJP1/PROX1/CDKN1B/C9orf72/CDC42EP2/AKAP9/RICTOR/AP1AR/LDLR/PIK3CA/WASL" 17 "PI_2"
"GO:0010508" "positive regulation of autophagy" "10/252" "136/18570" 1.68563021876911e-05 0.00354087697830187 0.00316277459469047 "FLCN/TSC1/SNX30/TP53INP1/C9orf72/FOXO1/MOAP1/FOXO3/TRIM8/WAC" 10 "PI_2"
"GO:0090200" "positive regulation of release of cytochrome c from mitochondria" "5/252" "26/18570" 2.30429116291312e-05 0.00455571917561823 0.00406924978119394 "PLAUR/BMF/BIK/BBC3/MOAP1" 5 "PI_2"
"GO:0060070" "canonical Wnt signaling pathway" "15/252" "313/18570" 2.61471631013179e-05 0.00488225639908497 0.00436091866461746 "LGR4/FZD7/LGR5/FZD5/WWTR1/SMAD3/TCF7L2/TLE4/EGFR/FRAT1/UBE2B/PPM1A/TNKS2/FOXO1/FOXO3" 15 "PI_2"
"GO:0008544" "epidermis development" "16/252" "355/18570" 2.97579248626723e-05 0.00526402028754956 0.00470191699215188 "DNASE1L2/GRHL3/LGR4/LGR5/UGCG/CCN2/NAB2/ACVR1B/ZFP36/EGFR/SOS1/MAFF/SOX21/FOSL2/MAFG/PTCH1" 16 "PI_2"
"GO:0097191" "extrinsic apoptotic signaling pathway" "12/252" "221/18570" 5.13991480311811e-05 0.00863762682663999 0.00771528264131203 "HMGB2/DEDD2/SMAD3/TCF7L2/ACVR1B/SH3RF1/ERBB3/IL6R/MOAP1/FOXO3/RB1CC1/BCL10" 12 "PI_2"
"GO:0031929" "TOR signaling" "9/252" "126/18570" 5.60505833651208e-05 0.00897076241381767 0.00801284530111902 "FNIP1/FLCN/BMT2/TSC1/RHEBL1/C9orf72/RICTOR/PIK3CA/WAC" 9 "PI_2"
"GO:0006261" "DNA-templated DNA replication" "16/143" "159/18570" 9.31987633501563e-14 2.07087652164047e-10 1.91106516848531e-10 "BLM/E2F8/CDC45/E2F7/CDT1/CDK2/LIG1/MCM5/CHTF18/POLD1/RFC3/POLE/RRM1/CCNE2/MCM2/MCM7" 16 "PI_4"
"GO:0006260" "DNA replication" "16/143" "280/18570" 5.12184756426686e-10 5.69037264390048e-07 5.2512416079957e-07 "BLM/E2F8/CDC45/E2F7/CDT1/CDK2/LIG1/MCM5/CHTF18/POLD1/RFC3/POLE/RRM1/CCNE2/MCM2/MCM7" 16 "PI_4"
"GO:0032508" "DNA duplex unwinding" "10/143" "90/18570" 1.80686883266133e-09 1.33828751539115e-06 1.23501069685062e-06 "BLM/CDC45/RAD54L/DDX12P/MCM5/ERCC6L/CHTF18/RFC3/MCM2/MCM7" 10 "PI_4"
"GO:0032392" "DNA geometric change" "10/143" "96/18570" 3.42584784744177e-09 1.9030584792539e-06 1.75619779126752e-06 "BLM/CDC45/RAD54L/DDX12P/MCM5/ERCC6L/CHTF18/RFC3/MCM2/MCM7" 10 "PI_4"
"GO:0071103" "DNA conformation change" "10/143" "103/18570" 6.84475960573326e-09 3.04181116878786e-06 2.80707193936177e-06 "BLM/CDC45/RAD54L/DDX12P/MCM5/ERCC6L/CHTF18/RFC3/MCM2/MCM7" 10 "PI_4"
"GO:0006270" "DNA replication initiation" "7/143" "38/18570" 1.43202380762138e-08 5.30326150089119e-06 4.89400417060782e-06 "CDC45/CDT1/CDK2/MCM5/CCNE2/MCM2/MCM7" 7 "PI_4"
"GO:1901987" "regulation of cell cycle phase transition" "17/143" "414/18570" 2.09730641069343e-08 6.65744977794402e-06 6.14368855342979e-06 "TRIM39/ACVR1/BRD4/PTEN/BLM/DLGAP5/CDC45/E2F7/CDT1/E2F1/CDK2/CDK4/STOX1/CDCA5/MSH2/RRM1/RBL1" 17 "PI_4"
"GO:1901990" "regulation of mitotic cell cycle phase transition" "15/143" "321/18570" 2.76448462739178e-08 7.67835605258067e-06 7.08581059757788e-06 "TRIM39/ACVR1/BRD4/PTEN/BLM/DLGAP5/E2F7/CDT1/E2F1/CDK2/CDK4/STOX1/CDCA5/RRM1/RBL1" 15 "PI_4"
"GO:0044786" "cell cycle DNA replication" "7/143" "43/18570" 3.54098468549095e-08 8.74229774573432e-06 8.06764697934078e-06 "BLM/E2F8/CDC45/E2F7/CDT1/LIG1/MCM2" 7 "PI_4"
"GO:0044772" "mitotic cell cycle phase transition" "17/143" "440/18570" 5.08761502615783e-08 1.13046805881227e-05 1.04322884957426e-05 "TRIM39/ACVR1/BRD4/PTEN/BLM/DLGAP5/E2F7/CDT1/E2F1/CDK2/CDK4/STOX1/CDCA5/POLE/RRM1/CCNE2/RBL1" 17 "PI_4"
"GO:0090329" "regulation of DNA-templated DNA replication" "7/143" "52/18570" 1.38761619671783e-07 2.80298471737002e-05 2.58667593416874e-05 "BLM/E2F8/E2F7/CDT1/CDK2/CHTF18/RFC3" 7 "PI_4"
"GO:0007346" "regulation of mitotic cell cycle" "17/143" "478/18570" 1.66546758495006e-07 3.08389081146587e-05 2.84590425919537e-05 "TRIM39/ACVR1/BRD4/PTEN/BLM/DLGAP5/E2F7/CDT1/E2F1/CDK2/CDK4/STOX1/CDCA5/MSH2/KIF20B/RRM1/RBL1" 17 "PI_4"
"GO:0007076" "mitotic chromosome condensation" "5/143" "19/18570" 2.69102868287591e-07 4.59958902565405e-05 4.24463471598564e-05 "NCAPD3/CDCA5/NCAPG/NCAPH/SMC4" 5 "PI_4"
"GO:0007059" "chromosome segregation" "14/143" "346/18570" 4.75802735319561e-07 7.09211692285547e-05 6.54481205444239e-05 "HJURP/DLGAP5/KNL1/CENPH/CDT1/NCAPD3/DDX12P/PRC1/NCAPG2/CDCA5/NCAPG/NCAPH/SMC4/CCNE2" 14 "PI_4"
"GO:0090068" "positive regulation of cell cycle process" "12/143" "247/18570" 4.78765768869631e-07 7.09211692285547e-05 6.54481205444239e-05 "BRD4/MED1/PLK4/E2F8/DLGAP5/E2F7/CDT1/CDK4/STOX1/CDCA5/KIF20B/RRM1" 12 "PI_4"
"GO:0006268" "DNA unwinding involved in DNA replication" "5/143" "22/18570" 5.9820589157917e-07 8.30758431930572e-05 7.66648076839621e-05 "BLM/CDC45/MCM5/MCM2/MCM7" 5 "PI_4"
"GO:0044843" "cell cycle G1/S phase transition" "12/143" "254/18570" 6.44408602816767e-07 8.42279950269916e-05 7.77280469527593e-05 "TRIM39/ACVR1/BRD4/PTEN/E2F7/E2F1/CDK2/CDK4/POLE/RRM1/CCNE2/RBL1" 12 "PI_4"
"GO:0051383" "kinetochore organization" "5/143" "23/18570" 7.59650107362527e-07 9.37745854755297e-05 8.65379186632867e-05 "CENPA/DLGAP5/CENPH/CDT1/SMC4" 5 "PI_4"
"GO:0048285" "organelle fission" "16/143" "492/18570" 1.28355019321524e-06 0.000150107817332856 0.000138523865727606 "MTFR2/ING2/DLGAP5/KIF11/CDT1/TEX19/NCAPD3/RAD54L/PRC1/NCAPG2/CDCA5/NCAPG/KIF20B/NCAPH/SMC4/CCNE2" 16 "PI_4"
"GO:0000082" "G1/S transition of mitotic cell cycle" "11/143" "225/18570" 1.37667536580691e-06 0.000152948633141148 0.000141145453294308 "ACVR1/BRD4/PTEN/E2F7/E2F1/CDK2/CDK4/POLE/RRM1/CCNE2/RBL1" 11 "PI_4"
"GO:0000727" "double-strand break repair via break-induced replication" "4/143" "12/18570" 1.59078902636447e-06 0.00016832062936104 0.000155331179115688 "CDC45/MCM5/MCM2/MCM7" 4 "PI_4"
"GO:0000280" "nuclear division" "15/143" "445/18570" 1.81124766735547e-06 0.000182936014402903 0.000168818682105668 "ING2/DLGAP5/KIF11/CDT1/TEX19/NCAPD3/RAD54L/PRC1/NCAPG2/CDCA5/NCAPG/KIF20B/NCAPH/SMC4/CCNE2" 15 "PI_4"
"GO:0030261" "chromosome condensation" "6/143" "49/18570" 1.99841965631705e-06 0.000193064716362456 0.000178165743272569 "NCAPD3/NCAPG2/CDCA5/NCAPG/NCAPH/SMC4" 6 "PI_4"
"GO:0098813" "nuclear chromosome segregation" "12/143" "287/18570" 2.31883986736008e-06 0.00021468592438642 0.00019811842375515 "DLGAP5/KNL1/CDT1/NCAPD3/DDX12P/PRC1/NCAPG2/CDCA5/NCAPG/NCAPH/SMC4/CCNE2" 12 "PI_4"
"GO:2000105" "positive regulation of DNA-templated DNA replication" "4/143" "14/18570" 3.17857671158879e-06 0.000282511898126012 0.000260710207754735 "E2F8/E2F7/CDT1/CDK2" 4 "PI_4"
"GO:0010948" "negative regulation of cell cycle process" "12/143" "300/18570" 3.66122672296978e-06 0.000312894068401494 0.000288747759366199 "TRIM39/ACVR1/PTEN/BLM/E2F8/CDC45/E2F7/CDT1/E2F1/CDK2/MSH2/RBL1" 12 "PI_4"
"GO:0006271" "DNA strand elongation involved in DNA replication" "4/143" "15/18570" 4.30851599474696e-06 0.000340789954062536 0.000314490895122375 "LIG1/RFC3/POLE/MCM7" 4 "PI_4"
"GO:0000819" "sister chromatid segregation" "10/143" "205/18570" 4.30960008934679e-06 0.000340789954062536 0.000314490895122375 "DLGAP5/CDT1/NCAPD3/DDX12P/PRC1/NCAPG2/CDCA5/NCAPG/NCAPH/SMC4" 10 "PI_4"
"GO:1901988" "negative regulation of cell cycle phase transition" "11/143" "254/18570" 4.44775367588369e-06 0.000340789954062536 0.000314490895122375 "TRIM39/ACVR1/PTEN/BLM/CDC45/E2F7/CDT1/E2F1/CDK2/MSH2/RBL1" 11 "PI_4"
"GO:0033044" "regulation of chromosome organization" "10/143" "212/18570" 5.8033774491763e-06 0.000429836823068992 0.000396665939333173 "DLGAP5/SMG1/CDT1/CDK2/CDCA5/NCAPG/NCAPH/SMC4/DNMT1/MCM2" 10 "PI_4"
"GO:0000070" "mitotic sister chromatid segregation" "9/143" "171/18570" 7.15120087676421e-06 0.000512579624134518 0.000473023406041992 "DLGAP5/CDT1/NCAPD3/PRC1/NCAPG2/CDCA5/NCAPG/NCAPH/SMC4" 9 "PI_4"
"GO:0045787" "positive regulation of cell cycle" "12/143" "329/18570" 9.34778901772535e-06 0.000649087099918304 0.000598996480477927 "BRD4/MED1/PLK4/E2F8/DLGAP5/E2F7/CDT1/CDK4/STOX1/CDCA5/KIF20B/RRM1" 12 "PI_4"
"GO:0010389" "regulation of G2/M transition of mitotic cell cycle" "7/143" "97/18570" 9.98742520871757e-06 0.000672486630720316 0.000620590249013774 "TRIM39/BRD4/BLM/CDK2/CDK4/STOX1/RRM1" 7 "PI_4"
"GO:0033260" "nuclear DNA replication" "5/143" "38/18570" 1.03265084927031e-05 0.000674867702081948 0.000622787571015033 "BLM/CDC45/CDT1/LIG1/MCM2" 5 "PI_4"
"GO:1901992" "positive regulation of mitotic cell cycle phase transition" "7/143" "100/18570" 1.22087185536306e-05 0.000775079217890494 0.000715265676465338 "BRD4/DLGAP5/CDT1/CDK4/STOX1/CDCA5/RRM1" 7 "PI_4"
"GO:0140014" "mitotic nuclear division" "11/143" "293/18570" 1.70869027181724e-05 0.00105464160666053 0.000973253991081869 "DLGAP5/KIF11/CDT1/NCAPD3/PRC1/NCAPG2/CDCA5/NCAPG/KIF20B/NCAPH/SMC4" 11 "PI_4"
"GO:1902749" "regulation of cell cycle G2/M phase transition" "7/143" "108/18570" 2.02058001081389e-05 0.00121344021189959 0.00111979796900867 "TRIM39/BRD4/BLM/CDK2/CDK4/STOX1/RRM1" 7 "PI_4"
"GO:0006310" "DNA recombination" "11/143" "319/18570" 3.73118740516502e-05 0.00218176274059912 0.00201339420090345 "BATF/BLM/EXOSC6/ING3/CDC45/TEX19/RAD54L/MCM5/MSH2/MCM2/MCM7" 11 "PI_4"
"GO:0045786" "negative regulation of cell cycle" "12/143" "386/18570" 4.51371723944843e-05 0.00253451986213963 0.00233892874671846 "TRIM39/ACVR1/PTEN/BLM/E2F8/CDC45/E2F7/CDT1/E2F1/CDK2/MSH2/RBL1" 12 "PI_4"
"GO:0031570" "DNA integrity checkpoint signaling" "7/143" "123/18570" 4.67665681132875e-05 0.00253451986213963 0.00233892874671846 "TRIM39/BLM/CDC45/CDT1/E2F1/CDK2/MSH2" 7 "PI_4"
"GO:1901989" "positive regulation of cell cycle phase transition" "7/143" "123/18570" 4.67665681132875e-05 0.00253451986213963 0.00233892874671846 "BRD4/DLGAP5/CDT1/CDK4/STOX1/CDCA5/RRM1" 7 "PI_4"
"GO:0010971" "positive regulation of G2/M transition of mitotic cell cycle" "4/143" "28/18570" 5.97892422492889e-05 0.00311518863100738 0.00287478679861783 "BRD4/CDK4/STOX1/RRM1" 4 "PI_4"
"GO:0045931" "positive regulation of mitotic cell cycle" "7/143" "128/18570" 6.02849285028431e-05 0.00311518863100738 0.00287478679861783 "BRD4/DLGAP5/CDT1/CDK4/STOX1/CDCA5/RRM1" 7 "PI_4"
"GO:2001252" "positive regulation of chromosome organization" "6/143" "89/18570" 6.45229374473525e-05 0.0032584083410913 0.00300695411835987 "CDT1/CDK2/NCAPG/NCAPH/SMC4/DNMT1" 6 "PI_4"
"GO:0006275" "regulation of DNA replication" "7/143" "131/18570" 6.98251958593994e-05 0.00340617935813887 0.00314332151672487 "BLM/E2F8/E2F7/CDT1/CDK2/CHTF18/RFC3" 7 "PI_4"
"GO:0060623" "regulation of chromosome condensation" "3/143" "11/18570" 7.05149642098956e-05 0.00340617935813887 0.00314332151672487 "NCAPG/NCAPH/SMC4" 3 "PI_4"
"GO:0045930" "negative regulation of mitotic cell cycle" "9/143" "234/18570" 8.47657937024734e-05 0.00400743816184885 0.00369818065246177 "TRIM39/ACVR1/PTEN/BLM/E2F7/CDT1/CDK2/MSH2/RBL1" 9 "PI_4"
"GO:1901991" "negative regulation of mitotic cell cycle phase transition" "8/143" "183/18570" 8.74473350088535e-05 0.00401065486463801 0.00370114911948214 "TRIM39/ACVR1/PTEN/BLM/E2F7/CDT1/CDK2/RBL1" 8 "PI_4"
"GO:0034508" "centromere complex assembly" "4/143" "31/18570" 9.02487593302883e-05 0.00401065486463801 0.00370114911948214 "CENPA/HJURP/DLGAP5/CENPH" 4 "PI_4"
"GO:1902751" "positive regulation of cell cycle G2/M phase transition" "4/143" "31/18570" 9.02487593302883e-05 0.00401065486463801 0.00370114911948214 "BRD4/CDK4/STOX1/RRM1" 4 "PI_4"
"GO:0051302" "regulation of cell division" "8/143" "186/18570" 9.79391385240562e-05 0.00426707383922457 0.0039377800174378 "MLLT3/BLM/PLK4/E2F8/E2F7/PRC1/KIF20B/RBL1" 8 "PI_4"
"GO:1902806" "regulation of cell cycle G1/S phase transition" "8/143" "187/18570" 0.000101659866644351 0.00434400430161053 0.00400877368872865 "TRIM39/ACVR1/PTEN/E2F7/E2F1/CDK2/RRM1/RBL1" 8 "PI_4"
"GO:0000086" "G2/M transition of mitotic cell cycle" "7/143" "140/18570" 0.000106096635159755 0.00444805138349009 0.00410479136626022 "TRIM39/BRD4/BLM/CDK2/CDK4/STOX1/RRM1" 7 "PI_4"
"GO:0006287" "base-excision repair, gap-filling" "3/143" "14/18570" 0.000152943957699323 0.00617893589105267 0.005702102001881 "LIG1/POLD1/POLE" 3 "PI_4"
"GO:1902969" "mitotic DNA replication" "3/143" "14/18570" 0.000152943957699323 0.00617893589105267 0.005702102001881 "CDC45/LIG1/MCM2" 3 "PI_4"
"GO:0022616" "DNA strand elongation" "4/143" "37/18570" 0.000182766872680771 0.0072519284124406 0.00669229075154403 "LIG1/RFC3/POLE/MCM7" 4 "PI_4"
"GO:0060707" "trophoblast giant cell differentiation" "3/143" "15/18570" 0.000190102818125468 0.00741067476973315 0.00683878651354407 "PLK4/E2F8/E2F7" 3 "PI_4"
"GO:0044839" "cell cycle G2/M phase transition" "7/143" "155/18570" 0.000199575823105312 0.00764581860241386 0.00705578409091013 "TRIM39/BRD4/BLM/CDK2/CDK4/STOX1/RRM1" 7 "PI_4"
"GO:0051054" "positive regulation of DNA metabolic process" "9/143" "263/18570" 0.000204578153816362 0.00770462131830436 0.00711004894976403 "EXOSC6/E2F8/ING3/E2F7/CDT1/CDK2/CHTF18/MSH2/RFC3" 9 "PI_4"
"GO:2000045" "regulation of G1/S transition of mitotic cell cycle" "7/143" "160/18570" 0.000242487295614415 0.00898011284758717 0.00828710968169965 "ACVR1/PTEN/E2F7/E2F1/CDK2/RRM1/RBL1" 7 "PI_4"
"GO:0045740" "positive regulation of DNA replication" "4/143" "40/18570" 0.000248419643992981 0.00904899096643285 0.00835067241584688 "E2F8/E2F7/CDT1/CDK2" 4 "PI_4"
"GO:0000724" "double-strand break repair via homologous recombination" "7/143" "162/18570" 0.000261606072382038 0.0093756240779498 0.0086520989643499 "BLM/ING3/CDC45/RAD54L/MCM5/MCM2/MCM7" 7 "PI_4"
"GO:0006302" "double-strand break repair" "9/143" "273/18570" 0.000269676850898675 0.0095114597253469 0.00877745205598359 "BLM/ING3/CDC45/RAD54L/MCM5/CDCA5/MSH2/MCM2/MCM7" 9 "PI_4"
"GO:0000725" "recombinational repair" "7/143" "164/18570" 0.000281920237549517 0.0097879182474223 0.00903257603201414 "BLM/ING3/CDC45/RAD54L/MCM5/MCM2/MCM7" 7 "PI_4"
"GO:0042254" "ribosome biogenesis" "31/293" "301/18570" 1.08927380976411e-16 3.01293135780754e-13 2.9307198502706e-13 "RIOX2/SRFBP1/MRM1/NIFK/UTP23/GTPBP4/FASTKD2/PPAN/RRP8/RSL1D1/EXOSC4/MRM2/RRP1B/RPF2/NIP7/RRS1/NOP2/RRP1/PINX1/UTP14A/ISG20L2/URB2/EXOSC2/BYSL/GEMIN4/WDR3/BRIX1/EIF4A3/NOP16/LYAR/EXOSC3" 31 "PI_6"
"GO:0034470" "ncRNA processing" "34/293" "421/18570" 5.34138510643894e-15 7.38713560220506e-12 7.18556859581997e-12 "MTO1/SRFBP1/QTRT2/MRM1/METTL2B/NIFK/UTP23/GTPBP4/TRMT6/PPAN/KTI12/RRP8/PUS3/RSL1D1/EXOSC4/MRM2/THUMPD2/RRP1B/RPF2/TOE1/TRMT10C/RRS1/NOP2/RRP1/UTP14A/EXOSC2/BYSL/GEMIN4/WDR3/BRIX1/EIF4A3/POLR3K/LYAR/EXOSC3" 34 "PI_6"
"GO:0022613" "ribonucleoprotein complex biogenesis" "34/293" "437/18570" 1.60078962614759e-14 1.47592803530807e-11 1.43565553839762e-11 "RIOX2/SRFBP1/NUFIP1/MRM1/NIFK/UTP23/GTPBP4/FASTKD2/PPAN/RRP8/RSL1D1/EXOSC4/MRM2/RRP1B/RPF2/NIP7/GEMIN6/RRS1/NOP2/RRP1/PINX1/UTP14A/ISG20L2/URB2/EXOSC2/BYSL/GEMIN4/WDR3/BRIX1/EIF4A3/CPSF6/NOP16/LYAR/EXOSC3" 34 "PI_6"
"GO:0016072" "rRNA metabolic process" "26/293" "261/18570" 7.91174141844298e-14 5.47096919085332e-11 5.32168712251059e-11 "SRFBP1/POLR1B/MRM1/NIFK/UTP23/GTPBP4/PPAN/RRP8/RSL1D1/EXOSC4/MRM2/RRP1B/RPF2/RRS1/NOP2/RRP1/UTP14A/POLR1G/EXOSC2/BYSL/GEMIN4/WDR3/BRIX1/EIF4A3/LYAR/EXOSC3" 26 "PI_6"
"GO:0006364" "rRNA processing" "24/293" "223/18570" 1.35919296177008e-13 7.51905546451211e-11 7.31388886375649e-11 "SRFBP1/MRM1/NIFK/UTP23/GTPBP4/PPAN/RRP8/RSL1D1/EXOSC4/MRM2/RRP1B/RPF2/RRS1/NOP2/RRP1/UTP14A/EXOSC2/BYSL/GEMIN4/WDR3/BRIX1/EIF4A3/LYAR/EXOSC3" 24 "PI_6"
"GO:0042273" "ribosomal large subunit biogenesis" "11/293" "72/18570" 1.60964338213845e-08 7.42045599165824e-06 7.21797979779977e-06 "NIFK/GTPBP4/FASTKD2/PPAN/RSL1D1/RPF2/NIP7/RRS1/NOP2/BRIX1/NOP16" 11 "PI_6"
"GO:0006399" "tRNA metabolic process" "14/293" "185/18570" 1.48296751804258e-06 0.000585984022129395 0.00056999473325065 "NARS2/MTO1/QTRT2/METTL2B/MARS2/TRMT6/KTI12/PUS3/THUMPD2/TRMT10C/FARSA/EXOSC2/POLR3K/EXOSC3" 14 "PI_6"
"GO:0000027" "ribosomal large subunit assembly" "6/293" "27/18570" 3.2828044101926e-06 0.00113502962482409 0.00110405895690162 "FASTKD2/PPAN/RPF2/RRS1/NOP2/BRIX1" 6 "PI_6"
"GO:0043414" "macromolecule methylation" "17/293" "329/18570" 2.02511390862863e-05 0.00622385007918531 0.006054024737374 "ZNF274/MTO1/SETD7/MRM1/METTL2B/PLD6/TRMT6/RRP8/BEND3/MRM2/THUMPD2/TET1/TRMT10C/NOP2/SUV39H2/SETMAR/FAM98A" 17 "PI_6"
"GO:0090305" "nucleic acid phosphodiester bond hydrolysis" "14/293" "239/18570" 2.81211908880344e-05 0.00710130925720554 0.00690754137131992 "AEN/PLD6/APTX/UTP23/EXOSC4/NTHL1/TOE1/RRS1/SETMAR/ISG20L2/EXOSC2/POLR3K/CPSF6/EXOSC3" 14 "PI_6"
"GO:0032259" "methylation" "18/293" "373/18570" 2.87609999696052e-05 0.00710130925720554 0.00690754137131992 "ZNF274/MTO1/SETD7/MRM1/METTL2B/PLD6/TRMT6/RRP8/CARNMT1/BEND3/MRM2/THUMPD2/TET1/TRMT10C/NOP2/SUV39H2/SETMAR/FAM98A" 18 "PI_6"
"GO:0006626" "protein targeting to mitochondrion" "9/293" "101/18570" 3.14644413534331e-05 0.00710130925720554 0.00690754137131992 "TIMM9/TIMM10/TIMM21/IMMP1L/TIMM8B/GRPEL1/TIMM17A/TIMM8A/TOMM5" 9 "PI_6"
"GO:0006839" "mitochondrial transport" "12/293" "182/18570" 3.33756400374808e-05 0.00710130925720554 0.00690754137131992 "SLC9A1/TIMM9/TIMM10/TIMM21/IMMP1L/TIMM8B/TMEM14A/GRPEL1/TIMM17A/TIMM8A/TOMM5/THEM4" 12 "PI_6"
"GO:0045039" "protein insertion into mitochondrial inner membrane" "4/293" "13/18570" 3.88021831653007e-05 0.00766620275965869 0.00745702106545177 "TIMM9/TIMM10/TIMM8B/TIMM8A" 4 "PI_6"
"GO:0001510" "RNA methylation" "8/293" "82/18570" 4.52640091752733e-05 0.00824561179647493 0.00802062021988429 "MTO1/MRM1/METTL2B/TRMT6/MRM2/THUMPD2/TRMT10C/NOP2" 8 "PI_6"
"GO:0042255" "ribosome assembly" "7/293" "61/18570" 4.76969590540849e-05 0.00824561179647493 0.00802062021988429 "FASTKD2/PPAN/RPF2/NIP7/RRS1/NOP2/BRIX1" 7 "PI_6"
